Nature du contrat;Code de catégorie;Description de la catégorie;Catégorie;Code UNSPSC;Description du code UNSPSC;Description détaillée du code UNSPSC
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25130000;Aéronefs;Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131500;Aéronefs motopropulsés à voilure fixe;Aéronefs motopropulsés à voilure fixe/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131501;Avions agricoles à voiture type;Avions agricoles à voiture type/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131502;Avions-cargos à hélice;Avions-cargos à hélice/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131503;Hydravions;Hydravions/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131504;Avions commerciaux à hélices - passagers;Avions commerciaux à hélices - passagers/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131505;Avions-cargos à réaction;Avions-cargos à réaction/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131506;Avions commerciaux à réaction - passagers;Avions commerciaux à réaction - passagers/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131507;Avions privés ou d'affaires à hélices;Avions privés ou d'affaires à hélices/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131508;Avions privés ou d'affaires à réaction;Avions privés ou d'affaires à réaction/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131600;Aéronefs civils à voilure tournante;Aéronefs civils à voilure tournante/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131601;Hélicoptères - passagers;Hélicoptères - passagers/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131602;Hélicoptères - fret;Hélicoptères - fret/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131603;Hélicoptères agricoles;Hélicoptères agricoles/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131604;Hélicoptères sanitaires ou de sauvetage;Hélicoptères sanitaires ou de sauvetage/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131700;Aéronefs militaires à voilure fixe;Aéronefs militaires à voilure fixe/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131701;Bombardiers;Bombardiers/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131702;Chasseurs-bombardiers;Chasseurs-bombardiers/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131703;Chasseurs;Chasseurs/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131704;Avions d'attaque;Avions d'attaque/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131705;Avions-cibles ou avions de reconnaissance;Avions-cibles ou avions de reconnaissance/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131706;Hydravions militaires;Hydravions militaires/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131707;Avions de reconnaissance ou de surveillance;Avions de reconnaissance ou de surveillance/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131708;Avions anti-sous-marin;Avions anti-sous-marin/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131709;Avions de transport militaire;Avions de transport militaire/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131800;Aéronefs particuliers;Aéronefs particuliers/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131801;Dirigeables;Dirigeables/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131900;Aéronefs militaires à voilure tournante;Aéronefs militaires à voilure tournante/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131902;Hélicoptères de transport militaire;Hélicoptères de transport militaire/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131903;Hélicoptères d'attaque;Hélicoptères d'attaque/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131904;Hélicoptères de reconnaissance;Hélicoptères de reconnaissance/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131905;Hélicoptères anti-sous-marin;Hélicoptères anti-sous-marin/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25131906;Avions à voilure et rotor basculants;Avions à voilure et rotor basculants/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25132000;Aéronefs de loisirs;Aéronefs de loisirs/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25132001;Deltaplanes;Deltaplanes/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25132002;Montgolfières;Montgolfières/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25132003;Planeurs;Planeurs/Aéronefs
