Nature du contrat;Code de catégorie;Description de la catégorie;Catégorie;Code UNSPSC;Description du code UNSPSC;Description détaillée du code UNSPSC
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80130000;Services immobiliers;Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131500;Location de propriétés ou d'immeubles;Location de propriétés ou d'immeubles/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131501;Location résidentielle;Location résidentielle/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131502;Location d'installations commerciales ou industrielles;Location d'installations commerciales ou industrielles/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131503;Baux fonciers;Baux fonciers/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131520;Droits annuels pour la propriété de barrages;Droits annuels pour la propriété de barrages/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131521;Droit de passage pour stations hydrométriques;Droit de passage pour stations hydrométriques/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131600;Vente de propriétés ou d'immeubles;Vente de propriétés ou d'immeubles/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131601;Courtiers ou agents immobiliers;Courtiers ou agents immobiliers/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131602;Ventes aux enchères - Immobilier;Ventes aux enchères - Immobilier/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131603;Vente de terrains résidentiels;Vente de terrains résidentiels/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131604;Vente de terrains commerciaux ou industriels;Vente de terrains commerciaux ou industriels/Services immobiliers
Vente de biens immeubles;IMM;Vente de biens immeubles;IMM - Vente de biens immeubles;80131605;Vente d'immeubles commerciaux;Vente d'immeubles commerciaux/Services immobiliers
Concession;C1;Concession;C1 - Concession;71161202;Concessions - champ pétrolifère;Concessions - champ pétrolifère/Services de gestion de projets - puits de pétrole et de gaz
Concession;C1;Concession;C1 - Concession;78111807;Droits de stationnement;Droits de stationnement/Transport de passagers
Concession;C1;Concession;C1 - Concession;81141800;Gestion d'installations;Gestion d'installations/Technologies de fabrication
Concession;C1;Concession;C1 - Concession;90101701;Gestion de cafétéria;Gestion de cafétéria/Services de restauration et traiteurs
Concession;C1;Concession;C1 - Concession;91111802;Concessions de vestiaires;Concessions de vestiaires/Assistance personnelle et domestique
Indéterminée;O1;Indéterminée;O1 - Indéterminée;94131609;Traitement de dons de bienfaisance;Traitement de dons de bienfaisance
