C01 - Bâtiments;;;;;;
Nature du contrat;Code de catégorie;Description de la catégorie;Catégorie;Code UNSPSC;Description du code UNSPSC;Description détaillée du code UNSPSC
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30220000;Ouvrages permanents;Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221000;Ouvrages commerciaux ou récréatifs;Ouvrages commerciaux ou récréatifs/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221001;Galeries marchandes;Galeries marchandes/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221002;Stationnements;Stationnements/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221003;Cafétéria;Cafétéria/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221004;Magasins commerciaux;Magasins commerciaux/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221005;Centres commerciaux;Centres commerciaux/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221006;Cantines;Cantines/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221007;Salle de spectacle - de cinéma;Salle de spectacle - de cinéma/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221009;Marchés;Marchés/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221010;Terrains de jeux;Terrains de jeux/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221011;Zoo;Zoo/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221012;Jardins;Jardins/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221013;Parcs;Parcs/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30221014;Ports de plaisance;Ports de plaisance/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222000;Ouvrages - transport;Ouvrages - transport/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222003;Gares d'autobus;Gares d'autobus/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222004;Dépôts d'autobus;Dépôts d'autobus/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222005;Bâtiment d'aire de service, de repos ou de desserte;Bâtiment d'aire de service, de repos ou de desserte/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222006;Gares ferroviaires;Gares ferroviaires/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222007;Dépôts ferroviaires;Dépôts ferroviaires/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222008;Gares ferroviaires souterraines;Gares ferroviaires souterraines/Ouvrages permanents
Travaux de construction ;C01;Bâtiments;C01 - Bâtiments;30222009;Terminaux ferroviaires;Terminaux ferroviaires/Ouvrages permanents
